county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap,EducationRatio,PovertyUnemploymentRatio,PopulationDensityProxy,EconomicPressure,HighPoverty,LowBachelorRate,HighUnemployment,LargePopulation,WideEducationGap,VeryHighPoverty,VeryLowEducation,EconomicDistress,VulnerabilityScore,WeightedVulnerabilityScore,VulnerabilityScoreNorm,WeightedVulnerabilityScoreNorm,RiskCategory,BachelorsDegreePct_Scaled,HighSchoolGradPct_Scaled,PovertyRate_Scaled,UnemploymentRate_Scaled,Population_Scaled,EducationGap_Scaled,EducationRatio_Scaled,PovertyUnemploymentRatio_Scaled,PopulationDensityProxy_Scaled,EconomicPressure_Scaled
Arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,16307.0,0,0.0568763637088367,0.697210818780222,5.682656826568266,9.699411063939143,9.05,0,1,0,0,0,0,1,0,1,1.5,0.0,0.0,Low Risk,0.37991418555602047,0.22448781020829264,0.24595469255663427,0.09523809523809534,0.02950668744056171,0.09594818362396877,0.8913074330600921,0.583594736363484,0.2819599226927596,0.23442136498516325
Ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,18262.0,0,0.21852206264374113,0.22589368326410292,3.2798573975044563,9.812632434192041,12.0,0,1,0,0,0,0,1,0,1,1.5,0.0,0.0,Low Risk,0.1506129297890138,0.30605923977328103,0.3430420711974109,0.7857142857142857,0.034451447765120095,0.3547225484493855,0.1354717952574252,0.010340638598599572,0.30736670551341216,0.4094955489614243
Baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0,1,0.03708481646647231,0.48152139199531707,4.43213296398892,10.66606750781141,9.8,0,1,0,1,0,0,1,0,2,2.0,0.5,0.14285714285714285,Low Risk,0.09031855370684982,0.08178215016370088,0.2653721682847896,0.30952380952380953,0.09670484207118432,0.06426441411880214,0.545413462362978,0.2852477666142482,0.49887683755423273,0.2789317507418398
Benton,0.01177041891818027,0.009046196589853159,7.8,2.4,311013.0,0,-0.0027242223283271104,0.6179931443347039,3.2365145228215773,12.647593206225348,5.1,0,1,0,1,0,0,1,0,2,2.0,0.5,0.14285714285714285,Low Risk,0.006383145271535294,0.003033601434169529,0.0,0.023809523809523836,0.7749033811537606,0.0005351667814938628,0.7642686793678355,0.0,0.9435295825324412,0.0
Boone,0.04233148575136257,0.09250792491565014,14.9,3.1,38530.0,0,0.05017643916428757,0.412958176513626,4.790996784565917,10.559218391085642,9.0,0,1,0,1,0,0,1,0,2,2.0,0.5,0.14285714285714285,Low Risk,0.08664914041518526,0.09461426337080296,0.2297734627831715,0.19047619047619047,0.0857150806337387,0.0852224499371596,0.4354609106768251,0.3708646321740504,0.47489998320980575,0.23145400593471815
Bradley,0.15605161599366588,0.4468815718527316,23.2,4.6,10104.0,0,0.2908299558590657,0.3415581314887583,5.032537960954447,9.22078562983772,13.899999999999999,1,1,0,0,0,0,1,0,2,3.5,0.5,0.5714285714285714,High Risk,0.3853252131972126,0.48346043047522524,0.4983818770226537,0.5476190476190476,0.01381750672790919,0.47047836046263836,0.3209590296632833,0.4284909439955181,0.17455676700321598,0.5222551928783381
Calhoun,0.39008742663219137,0.9176281717302306,14.3,2.9,4641.0,0,0.5275407450980392,0.4205213236512562,4.914089347079039,8.442900586834382,8.6,0,1,0,0,0,0,1,0,1,1.5,0.0,0.0,Low Risk,1.0,0.9999999999999999,0.21035598705501618,0.1428571428571429,0.0,0.8494224618909482,0.4475896785696077,0.4002317591225203,0.0,0.20771513353115728
Carroll,0.07329016877212467,0.12075135347400569,14.8,2.9,28814.0,0,0.047461184701881015,0.5605308612479892,5.085910652920963,10.268651363870767,8.85,0,1,0,1,0,0,1,0,2,2.0,0.5,0.14285714285714285,Low Risk,0.1679594400379794,0.12560513708764576,0.22653721682847894,0.1428571428571429,0.061140507071892516,0.0808756701992614,0.6721183243019544,0.44122447223281636,0.4096969801124106,0.22255192878338276
Chicot,0.18062523558397986,0.41910464405535747,29.7,5.8,9538.0,0,0.2384794084713776,0.42093516834713623,5.111876075731498,9.163143937145207,17.75,1,1,0,0,0,0,1,1,2,3.5,0.5,0.5714285714285714,High Risk,0.4498656967302168,0.452981437465164,0.7087378640776698,0.8333333333333334,0.0123859290584974,0.3866717405663224,0.4482533475646235,0.4474192402381246,0.16162201833887524,0.7507418397626111
Clark,0.11982151809720785,0.15373613481244713,18.9,4.7,21274.0,0,0.03391461671523928,0.7317964249886463,4.012738853503184,9.965287953441575,11.799999999999999,0,1,0,1,0,0,1,0,2,2.0,0.5,0.14285714285714285,Low Risk,0.2901699989605946,0.1617985896964614,0.35922330097087374,0.5714285714285715,0.04206966674085915,0.05918932438613076,0.9467712211498469,0.18518973034774222,0.341622479094704,0.3976261127596438
Clay,0.1100017455108795,0.313614702063235,17.5,4.1,14201.0,0,0.2036129565523555,0.33991578506647985,4.257907542579076,9.561138078742038,10.8,0,1,0,0,0,0,1,0,1,1.5,0.0,0.0,Low Risk,0.26437921675301207,0.33722971617820385,0.31391585760517793,0.4285714285714285,0.024180004451548942,0.3308549510785037,0.31832525324813893,0.24368148540495038,0.25093157798169363,0.3382789317507419
